country_code,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
ABW,,11.62,,,,
AFG,597.029,9.59,,,37.746,0.5
AGO,276.045,3.94,,,26.664,
AIA,,,,,,
ALB,304.195,10.08,7.1,51.2,,2.89
AND,109.135,7.97,29.0,37.8,,
ARE,317.84,17.26,1.2,37.4,,1.2
ARG,191.032,5.5,16.2,27.7,,5.0
ARM,341.01,7.11,1.5,52.1,94.04299999999999,4.2
ATG,191.511,13.17,,,,3.8
AUS,107.791,5.07,13.0,16.5,,3.84
AUT,145.183,6.35,28.4,30.9,,7.37
AZE,559.812,7.11,0.3,42.5,83.241,4.7
BDI,293.068,6.05,,,6.144,0.8
BEL,114.898,4.29,25.1,31.4,,5.64
BEN,235.84799999999998,0.99,0.6,12.3,11.035,0.5
BES,,,,,,
BFA,269.048,2.42,1.6,23.9,11.877,0.4
BGD,298.003,8.38,1.0,44.7,34.808,0.8
BGR,424.68800000000005,5.81,30.1,44.4,,7.454
BHR,151.689,16.52,5.8,37.6,,2.0
BHS,235.954,13.17,3.1,20.4,,2.9
BIH,329.635,10.08,30.2,47.7,97.164,3.5
BLR,443.129,5.18,10.5,46.1,,11.0
BLZ,176.957,17.11,,,90.083,1.3
BMU,139.547,13.0,,,,
BOL,204.299,6.89,,,25.383000000000003,1.1
BRA,177.96099999999998,8.11,10.1,17.9,,2.2
BRB,170.05,13.57,1.9,14.5,88.469,5.8
BRN,201.285,12.79,2.0,30.9,,2.7
BTN,217.06599999999997,9.75,,,79.807,1.7
BWA,237.372,4.81,5.7,34.4,,1.8
CAF,435.727,6.1,,,16.602999999999998,1.0
CAN,105.59899999999999,7.37,12.0,16.6,,2.5
CHE,99.73899999999999,5.59,22.6,28.9,,4.53
CHL,127.993,8.46,34.2,41.5,,2.11
CHN,261.899,9.74,1.9,48.4,,4.34
CIV,303.74,2.42,,,19.351,
CMR,244.66099999999997,7.2,,,2.735,1.3
COD,318.949,6.1,,,4.4719999999999995,
COG,344.094,7.2,1.7,52.3,47.964,
COL,124.24,7.44,4.7,13.5,65.38600000000001,1.71
COM,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2
CPV,182.21900000000002,2.42,2.1,16.5,,2.1
CRI,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13
CUB,190.968,8.27,17.1,53.3,85.198,5.2
CUW,,11.62,,,,
CYM,,13.22,,,,
CYP,141.171,9.24,19.6,52.7,,3.4
CZE,227.485,6.82,30.5,38.3,,6.63
DEU,156.139,8.31,28.2,33.1,,8.0
DJI,258.03700000000003,6.05,1.7,24.5,,1.4
DMA,227.37599999999998,11.62,,,,3.8
DNK,114.76700000000001,6.41,19.3,18.8,,2.5
DOM,266.653,8.2,8.5,19.1,55.181999999999995,1.6
DZA,278.36400000000003,6.73,0.7,30.4,83.741,1.9
ECU,140.44799999999998,5.55,2.0,12.3,80.635,1.5
EGY,525.432,17.31,0.2,50.1,89.82700000000001,1.6
ERI,311.11,6.05,0.2,11.4,,0.7
ESH,,,,,,
ESP,99.40299999999999,7.17,27.4,31.4,,2.97
EST,255.56900000000002,4.02,24.5,39.3,,4.69
ETH,182.63400000000001,7.47,0.4,8.5,7.96,0.3
FIN,153.507,5.76,18.3,22.6,,3.28
FJI,412.82,14.49,10.2,34.8,,2.3
FLK,,,,,,
FRA,86.06,4.77,30.1,35.6,,5.98
FRO,,,,,,
GAB,259.967,7.2,,,,6.3
GBR,122.137,4.28,20.0,24.7,,2.54
GEO,496.218,7.11,5.3,55.5,,2.6
GGY,,,,,,
GHA,298.245,4.97,0.3,7.7,41.047,0.9
GIB,,,,,,
GIN,336.717,2.42,,,17.45,0.3
GMB,331.43,1.91,0.7,31.2,7.876,1.1
GNB,382.474,2.42,,,6.403,
GNQ,202.812,7.78,,,24.64,2.1
GRC,175.695,4.55,35.3,52.0,,4.21
GRD,243.96400000000003,10.71,,,,3.7
GRL,199.94099999999997,2.16,,,,
GTM,155.898,10.18,,,76.665,0.6
GUM,310.496,21.52,,,,
GUY,373.159,11.62,,,77.15899999999999,1.6
HKG,,8.33,,,,
HND,240.208,7.21,2.0,,84.169,0.7
HRV,253.782,5.59,34.3,39.9,,5.54
HTI,430.548,6.65,2.9,23.1,22.863000000000003,0.7
HUN,278.296,7.55,26.8,34.8,,7.02
IDN,342.86400000000003,6.32,2.8,76.1,64.204,1.04
IMN,,,,,,
IND,282.28,10.39,1.9,20.6,59.55,0.53
IRL,126.459,3.28,23.0,25.7,,2.96
IRN,270.308,9.59,0.8,21.1,,1.5
IRQ,218.612,8.83,,,94.57600000000001,1.4
ISL,117.992,5.31,14.3,15.2,,2.91
ISR,93.32,6.74,15.4,35.4,,2.99
ITA,113.15100000000001,4.78,19.8,27.8,,3.18
JAM,206.537,11.28,5.3,28.6,66.425,1.7
JEY,,,,,,
JOR,208.257,11.75,,,,1.4
JPN,79.37,5.72,11.2,33.7,,13.05
KAZ,466.792,7.11,7.0,43.1,98.999,6.7
KEN,218.637,2.92,1.2,20.4,24.651,1.4
KGZ,436.36199999999997,7.11,3.6,50.5,89.22,4.5
KHM,270.892,4.0,2.0,33.7,66.229,0.8
KNA,,12.84,,,,2.3
KOR,85.99799999999999,6.8,6.2,40.9,,12.27
KWT,132.235,15.84,2.7,37.0,,2.0
LAO,368.111,4.0,7.3,51.2,49.839,1.5
LBN,266.591,12.71,26.9,40.7,,2.9
LBR,272.509,2.42,1.5,18.1,1.188,0.8
LBY,341.86199999999997,10.43,,,,3.7
LCA,204.62,11.62,,,87.20200000000001,1.3
LIE,,7.77,,,,2.397
LKA,197.093,10.68,0.3,27.0,,3.6
LSO,405.126,3.94,0.4,53.9,2.117,
LTU,342.98900000000003,3.67,21.3,38.0,,6.56
LUX,128.275,4.42,20.9,26.0,,4.51
LVA,350.06,4.91,25.6,51.0,,5.57
MAR,419.14599999999996,7.14,0.8,47.1,,1.1
MCO,,5.46,,,,13.8
MDA,408.50199999999995,5.72,5.9,44.6,86.979,5.8
MDG,405.994,3.94,,,50.54,0.2
MDV,164.905,9.19,2.1,55.0,95.803,
MEX,152.783,13.06,6.9,21.4,87.84700000000001,1.38
MKD,322.688,10.08,,,,4.28
MLI,268.024,2.42,1.6,23.0,52.232,0.1
MLT,168.71099999999998,8.83,20.9,30.2,,4.485
MMR,202.104,4.61,6.3,35.2,79.28699999999999,0.9
MNE,387.305,10.08,44.0,47.9,,3.861
MNG,460.043,4.82,5.5,46.5,71.18,7.0
MNP,194.99400000000003,,,,,
MOZ,329.94199999999995,3.3,5.1,29.1,12.227,0.7
MRT,232.347,2.42,,,15.95,
MSR,,,,,,
MUS,224.644,22.02,3.2,40.7,,3.4
MWI,227.34900000000002,3.94,4.4,24.7,8.704,1.3
MYS,260.942,16.74,1.0,42.4,,1.9
NAM,243.81099999999998,3.94,9.7,34.2,44.6,
NCL,,23.36,,,,
NER,238.33900000000003,2.42,0.1,15.4,8.978,0.3
NGA,181.013,2.42,0.6,10.8,41.949,
NIC,137.016,11.47,,,,0.9
NLD,109.361,5.29,24.4,27.3,,3.32
NOR,114.316,5.31,19.6,20.7,,3.6
NPL,260.797,7.26,9.5,37.8,47.782,0.3
NZL,128.797,8.08,14.8,17.2,,2.61
OMN,266.342,12.61,0.5,15.6,97.4,1.6
PAK,423.031,8.35,2.8,36.7,59.607,0.6
PAN,128.346,8.33,2.4,9.9,,2.3
PER,85.755,5.95,4.8,,,1.6
PHL,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0
PNG,561.494,17.65,23.5,48.8,,
POL,227.331,5.91,23.3,33.1,,6.62
PRI,108.094,12.9,,,,
PRT,127.84200000000001,9.85,16.3,30.0,,3.39
PRY,199.128,8.27,5.0,21.6,79.602,1.3
PSE,265.91,10.59,,,,
PYF,,22.63,,,,
QAT,176.69,16.52,0.8,26.9,,1.2
ROU,370.94599999999997,9.74,22.9,37.1,,6.892
RUS,431.29699999999997,6.18,23.4,58.3,,8.05
RWA,191.375,4.28,4.7,21.0,4.617,
SAU,259.538,17.72,1.8,25.4,,2.7
SDN,431.38800000000003,15.67,,,23.436999999999998,0.8
SEN,241.21900000000002,2.42,0.4,16.6,20.859,
SGP,92.243,10.99,5.2,28.3,,2.4
SLE,325.721,2.42,8.8,41.3,19.275,
SLV,167.295,8.87,2.5,18.8,90.65,1.3
SMR,,5.64,,,,3.8
SOM,365.769,6.05,,,9.831,0.9
SRB,439.415,10.08,37.7,40.2,97.719,5.609
SSD,280.775,10.43,,,,
STP,270.113,2.42,,,41.34,2.9
SUR,258.314,12.54,7.4,42.9,67.779,3.1
SVK,287.959,7.29,23.1,37.7,,5.82
SVN,153.493,7.25,20.1,25.0,,4.5
SWE,133.982,4.79,18.8,18.9,,2.22
SWZ,333.436,3.94,1.7,16.5,24.096999999999998,2.1
SXM,,,,,,
SYC,242.648,10.55,7.1,35.7,,3.6
SYR,376.264,,,,70.598,1.5
TCA,,,,,,
TCD,280.995,6.1,,,5.818,
TGO,280.033,6.15,0.9,14.2,10.475,0.7
THA,109.861,7.04,1.9,38.8,90.67,2.1
TJK,427.69800000000004,7.11,,,72.704,4.8
TLS,335.346,6.86,6.3,78.1,28.178,5.9
TTO,228.467,10.97,,,89.443,3.0
TUN,318.991,8.52,1.1,65.8,78.687,2.3
TUR,171.285,12.13,14.1,41.1,,2.81
TWN,103.95700000000001,,,,,
TZA,217.28799999999998,5.75,3.3,26.7,47.953,0.7
UGA,213.333,2.5,3.4,16.7,21.221999999999998,0.5
UKR,539.849,7.11,13.5,47.4,,8.8
URY,160.708,6.93,14.0,19.9,,2.8
USA,151.089,10.79,19.1,24.6,,2.77
UZB,724.4169999999999,7.57,1.3,24.7,,4.0
VAT,,,,,,
VCT,252.675,11.62,,,,2.6
VEN,204.85,6.47,,,,0.8
VGB,,13.67,,,,
VIR,273.67,12.26,,,,
VNM,245.465,6.0,1.0,45.9,85.84700000000001,2.6
OWID_KOS,,,,,,
YEM,495.00300000000004,5.35,7.6,29.2,49.542,0.7
ZAF,200.38,5.52,8.1,33.2,43.993,2.32
ZMB,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0
ZWE,307.846,1.82,1.6,30.7,36.791,1.7
OWID_WRL,233.07,8.51,6.434,34.635,60.13,2.705
INT,,,,,,
